1,n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y,1
2,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?,1
3,?,y,y,?,y,y,n,n,n,n,y,n,y,y,n,n,0
4,n,y,y,n,?,y,n,n,n,n,y,n,y,n,n,y,0
5,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y,0
6,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,0
7,n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y,0
8,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y,1
9,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
10,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,0
11,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n,1
12,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,1
13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,0
14,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?,0
15,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?,1
16,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?,1
17,y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y,0
18,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,0
19,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,1
20,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
21,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y,0
22,y,y,y,n,n,n,y,y,y,n,n,n,?,?,y,y,0
23,y,?,y,n,n,n,y,y,y,n,n,?,n,n,y,y,0
24,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
25,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
26,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
28,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,1
30,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
32,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?,0
33,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,0
34,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
35,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
36,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
37,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y,1
38,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,1
39,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,0
41,y,y,y,n,n,n,y,y,y,n,?,n,n,n,n,?,0
42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,0
44,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
45,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?,0
46,y,y,y,n,n,n,y,y,?,n,y,n,n,n,y,?,0
47,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,0
48,y,n,y,n,n,n,y,y,?,n,n,n,n,n,n,?,0
49,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,0
50,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
51,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
52,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y,1
53,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,0
54,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
55,y,y,y,n,n,y,?,y,n,n,y,y,n,y,n,?,0
56,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,1
57,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,1
58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
60,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,1
61,y,y,y,n,n,?,y,y,y,y,n,n,n,n,y,?,0
62,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
63,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,?,0
64,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,0
65,y,y,y,n,n,n,y,y,y,n,y,?,n,n,n,y,0
66,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,1
67,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,1
68,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
69,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,0
70,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
71,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?,0
72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,1
73,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?,0
74,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y,1
75,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,0
76,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n,0
77,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,?,0
78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,0
79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,0
80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,1
81,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?,0
82,y,n,y,n,n,n,y,y,?,y,y,y,n,y,n,y,0
83,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
85,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
86,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,0
87,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
88,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
89,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y,0
90,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?,1
91,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
92,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,0
93,y,y,y,n,n,n,y,y,n,y,y,n,n,?,y,y,0
94,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,0
95,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y,0
96,y,n,y,n,y,y,n,?,?,n,y,?,?,?,y,y,0
97,n,n,?,n,y,y,n,n,n,n,y,y,y,y,n,y,0
98,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y,0
99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,0
100,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,n,1
101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y,0
102,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,0
103,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?,0
104,y,n,n,n,y,y,?,n,?,n,n,n,n,y,?,n,0
105,?,?,?,?,n,y,y,y,y,y,?,n,y,y,n,?,0
106,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y,0
107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
108,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,1
109,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
110,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
112,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
113,n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?,0
114,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
115,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
116,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y,0
117,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,1
119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,0
120,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
121,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y,1
122,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,1
124,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y,1
125,n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
126,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
127,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
128,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y,0
129,n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y,0
130,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?,0
131,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?,0
132,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,0
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?,1
134,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
135,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?,1
136,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
137,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,1
138,n,?,y,n,n,y,y,y,y,y,n,n,n,y,y,y,0
139,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,0
140,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,0
141,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,1
142,n,n,n,y,y,y,y,y,y,y,n,y,y,y,?,y,1
143,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,1
144,?,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y,0
145,n,?,n,n,n,y,y,y,y,y,n,n,n,y,n,?,0
