33,0.58,0.61,0.47,0.13,0.50,0.00,0.48,0.22,0
34,0.43,0.67,0.48,0.27,0.50,0.00,0.53,0.22,0
35,0.64,0.62,0.49,0.15,0.50,0.00,0.53,0.22,0
3,0.58,0.44,0.57,0.13,0.50,0.00,0.54,0.22,0
5,0.42,0.44,0.48,0.54,0.50,0.00,0.48,0.22,0
4,0.51,0.40,0.56,0.17,0.50,0.50,0.49,0.22,1
6,0.50,0.54,0.48,0.65,0.50,0.00,0.53,0.22,0
101,0.48,0.45,0.59,0.20,0.50,0.00,0.58,0.34,0
7,0.55,0.50,0.66,0.36,0.50,0.00,0.49,0.22,0
8,0.40,0.39,0.60,0.15,0.50,0.00,0.58,0.30,1
9,0.43,0.39,0.54,0.21,0.50,0.00,0.53,0.27,0
10,0.42,0.37,0.59,0.20,0.50,0.00,0.52,0.29,0
12,0.40,0.42,0.57,0.35,0.50,0.00,0.53,0.25,1
14,0.60,0.40,0.52,0.46,0.50,0.00,0.53,0.22,0
17,0.66,0.55,0.45,0.19,0.50,0.00,0.46,0.22,0
21,0.46,0.44,0.52,0.11,0.50,0.00,0.50,0.22,1
18,0.47,0.39,0.50,0.11,0.50,0.00,0.49,0.40,1
19,0.58,0.47,0.54,0.11,0.50,0.00,0.51,0.26,0
20,0.50,0.34,0.55,0.21,0.50,0.00,0.49,0.22,0
22,0.61,0.60,0.55,0.21,0.50,0.00,0.50,0.25,0
116,0.45,0.40,0.50,0.16,0.50,0.00,0.50,0.22,1
820,0.43,0.44,0.48,0.22,0.50,0.00,0.51,0.22,1
819,0.73,0.63,0.42,0.30,0.50,0.00,0.49,0.22,1
26,0.43,0.53,0.52,0.13,0.50,0.00,0.55,0.22,1
27,0.46,0.53,0.52,0.15,0.50,0.00,0.58,0.22,1
28,0.51,0.51,0.52,0.51,0.50,0.00,0.54,0.22,0
29,0.59,0.45,0.53,0.19,0.50,0.00,0.59,0.27,1
502,0.57,0.47,0.60,0.18,0.50,0.00,0.51,0.22,1
503,0.63,0.67,0.57,0.24,0.50,0.00,0.49,0.22,0
30,0.80,0.88,0.36,0.39,0.50,0.00,0.56,0.33,0
31,0.53,0.54,0.43,0.10,0.50,0.00,0.57,0.32,0
36,0.51,0.51,0.43,0.87,0.50,0.00,0.52,0.22,0
37,0.38,0.61,0.61,0.12,0.50,0.00,0.53,0.47,1
882,0.33,0.55,0.51,0.43,0.50,0.00,0.51,0.22,0
38,0.78,0.74,0.42,0.26,0.50,0.00,0.43,0.22,0
39,0.74,0.67,0.47,0.34,0.50,0.00,0.42,0.22,0
1447,0.72,0.61,0.45,0.30,0.50,0.00,0.54,0.25,0
1182,0.40,0.45,0.57,0.18,0.50,0.00,0.56,0.26,1
260,0.59,0.53,0.43,0.44,0.50,0.00,0.50,0.22,0
261,0.57,0.53,0.53,0.34,0.50,0.00,0.53,0.22,0
42,0.86,0.68,0.39,0.24,0.50,0.00,0.54,0.22,0
43,0.86,0.74,0.51,0.40,0.50,0.00,0.55,0.22,0
397,0.79,0.57,0.41,0.28,0.50,0.00,0.59,0.22,0
44,0.41,0.54,0.39,0.20,0.50,0.00,0.51,0.22,0
567,0.37,0.36,0.56,0.18,0.50,0.00,0.48,0.26,0
50,0.53,0.31,0.58,0.39,0.50,0.00,0.47,0.37,0
51,0.74,0.75,0.58,0.47,0.50,0.00,0.40,0.35,0
55,0.49,0.39,0.52,0.29,0.50,0.00,0.48,0.22,0
56,0.74,0.57,0.51,0.28,0.50,0.00,0.58,0.22,0
45,0.42,0.24,0.34,0.16,0.50,0.00,0.50,0.22,0
25,0.48,0.39,0.51,0.21,0.50,0.00,0.52,0.28,1
1386,0.41,0.53,0.45,0.14,0.50,0.00,0.52,0.66,0
57,0.45,0.46,0.55,0.43,0.50,0.00,0.55,0.38,0
59,0.56,0.48,0.58,0.27,0.50,0.00,0.51,0.22,1
60,0.64,0.59,0.56,0.23,0.50,0.00,0.46,0.22,1
61,0.64,0.56,0.56,0.22,0.50,0.00,0.45,0.22,1
73,0.66,0.62,0.49,0.10,0.50,0.00,0.49,0.22,1
702,0.53,0.44,0.51,0.33,0.50,0.00,0.55,0.22,1
67,0.38,0.49,0.53,0.19,0.50,0.00,0.50,0.22,1
58,0.45,0.58,0.48,0.67,0.50,0.00,0.52,0.22,0
65,0.43,0.35,0.52,0.52,0.50,0.00,0.54,0.22,0
62,0.37,0.32,0.47,0.18,0.50,0.00,0.45,0.25,0
63,0.48,0.43,0.51,0.32,0.50,0.00,0.52,0.43,0
64,0.41,0.46,0.59,0.19,0.50,0.00,0.58,0.27,0
68,0.54,0.48,0.44,0.08,0.50,0.00,0.52,0.27,1
69,0.60,0.47,0.45,0.22,0.50,0.00,0.51,0.29,1
70,0.34,0.46,0.57,0.09,0.50,0.00,0.55,0.22,1
71,0.48,0.54,0.55,0.12,0.50,0.00,0.51,0.22,1
183,0.47,0.39,0.59,0.15,0.50,0.00,0.57,0.22,1
72,0.81,0.85,0.47,0.37,0.50,0.00,0.56,0.22,0
74,0.48,0.42,0.52,0.24,0.50,0.00,0.56,0.22,1
79,0.58,0.51,0.49,0.27,0.50,0.00,0.57,0.29,1
82,0.60,0.50,0.44,0.61,0.50,0.00,0.47,0.22,0
89,0.45,0.55,0.54,0.66,0.50,0.00,0.47,0.22,0
98,0.46,0.49,0.58,0.23,0.50,0.00,0.44,0.22,0
95,0.49,0.42,0.56,0.55,0.50,0.00,0.42,0.25,0
96,0.63,0.53,0.54,0.40,0.50,0.00,0.50,0.22,0
97,0.50,0.54,0.53,0.54,0.50,0.00,0.51,0.27,0
92,0.63,0.57,0.59,0.40,0.50,0.00,0.38,0.22,0
90,0.43,0.57,0.51,0.49,0.50,0.00,0.48,0.22,0
93,0.48,0.45,0.55,0.50,0.50,0.00,0.53,0.22,0
91,0.50,0.58,0.46,0.46,0.50,0.00,0.46,0.22,0
94,0.51,0.54,0.60,0.57,0.50,0.00,0.58,0.22,0
86,0.54,0.52,0.63,0.37,0.50,0.00,0.46,0.22,0
87,0.67,0.62,0.40,0.43,0.50,0.83,0.50,0.22,0
99,0.28,0.58,0.21,0.13,0.50,0.00,0.51,0.22,0
1352,0.39,0.44,0.35,0.16,0.50,0.00,0.55,0.22,0
102,0.80,0.63,0.45,0.29,0.50,0.00,0.51,0.22,0
103,0.50,0.52,0.59,0.30,0.50,0.00,0.51,0.35,0
104,0.42,0.47,0.52,0.41,0.50,0.00,0.53,0.32,1
105,0.36,0.46,0.62,0.46,0.50,0.00,0.51,0.33,1
106,0.46,0.38,0.47,0.22,0.50,0.00,0.52,0.27,0
507,0.40,0.45,0.56,0.20,0.50,0.00,0.45,0.22,1
107,0.33,0.43,0.64,0.16,0.50,0.00,0.52,0.52,0
108,0.49,0.61,0.49,0.25,0.50,0.00,0.50,0.28,1
109,0.38,0.50,0.37,0.26,0.50,0.00,0.43,0.22,0
110,0.69,0.70,0.52,0.36,0.50,0.00,0.46,0.22,0
229,0.61,0.72,0.39,0.33,0.50,0.00,0.58,0.22,0
1445,0.78,0.75,0.40,0.28,0.50,0.00,0.53,0.22,0
111,0.64,0.57,0.57,0.27,0.50,0.00,0.37,0.22,1
113,0.36,0.58,0.35,0.24,0.50,0.00,0.44,0.22,0
